level,word,meaning_ja,Part_of_Speech,category,pronunciation,example_en,example_ja
準2級,protect,守る,動詞,自然・社会,/prəˈtɛkt/,We should protect the environment.,私たちは環境を守るべきです。
準2級,realize,気づく,動詞,思考・感情,/ˈriː.ə.laɪz/,I didn't realize how late it was.,私はどれだけ遅いか気づかなかった。
準2級,reduce,減らす,動詞,ビジネス,/rɪˈdjuːs/,We need to reduce waste.,私たちは廃棄物を減らす必要がある。
準2級,result,結果,名詞,思考・感情,/rɪˈzʌlt/,The result of the test was good.,テストの結果は良かった。
準2級,succeed,成功する,動詞,思考・感情,/səkˈsiːd/,"If you work hard, you will succeed.",一生懸命働けば、成功します。
準2級,suggest,提案する,動詞,思考・感情,/səˈdʒɛst/,Can you suggest a good restaurant?,良いレストランを提案してくれますか？
準2級,survive,生き残る,動詞,自然・社会,/sərˈvaɪv/,They had to survive in the wilderness.,彼らは荒野で生き残らなければならなかった。
準2級,translate,翻訳する,動詞,学術,/trænˈsleɪt/,I need to translate this document.,私はこの文書を翻訳する必要があります。
準2級,treat,扱う・治療する,動詞,自然・社会,/triːt/,They treat everyone with respect.,彼らは皆を敬意を持って扱う。
準2級,trust,信頼する,動詞,思考・感情,/trʌst/,I trust my friends.,私は友達を信頼している。
準2級,unhappy,不幸な,形容詞,思考・感情,/ʌnˈhæpi/,She felt unhappy about the results.,彼女は結果に不幸を感じた。
準2級,volunteer,ボランティア,名詞,自然・社会,/ˌvɒl.ənˈtɪər/,He is a volunteer at the local shelter.,彼は地元のシェルターでボランティアをしている。
準2級,wonder,不思議に思う,動詞,思考・感情,/ˈwʌn.dər/,I wonder how this works.,これがどのように機能するのか不思議に思う。
準2級,youth,若者・青春,名詞,文化,/juːθ/,The youth are the future of our society.,若者たちは私たちの社会の未来です。
準2級,accept,受け入れる,動詞,日常・基本,/əkˈsɛpt/,I accept your invitation.,私はあなたの招待を受け入れます。
準2級,adventure,冒険,名詞,日常・基本,/ədˈvɛnʧər/,We went on an adventure in the mountains.,私たちは山で冒険に出かけました。
準2級,celebrate,祝う,動詞,日常・基本,/ˈsɛlɪˌbreɪt/,We celebrate New Year with fireworks.,私たちは花火で新年を祝います。
準2級,community,地域・コミュニティ,名詞,社会・文化,/kəˈmjunɪti/,The community worked together to clean the park.,地域の人々は公園を掃除するために協力しました。
準2級,courage,勇気,名詞,感情,/ˈkɜrɪdʒ/,It takes courage to speak in public.,人前で話すには勇気が必要です。
準2級,discuss,話し合う,動詞,思考,/dɪsˈkʌs/,Let's discuss our plans for the trip.,旅行の計画について話し合いましょう。
準2級,experience,経験,名詞,日常・基本,/ɪkˈspɪərɪəns/,Traveling gives you a lot of experience.,旅行は多くの経験を与えてくれます。
準2級,famous,有名な,形容詞,文化,/ˈfeɪməs/,She is a famous artist.,彼女は有名なアーティストです。
準2級,improve,改善する,動詞,日常・基本,/ɪmˈpruv/,I want to improve my English skills.,私は英語のスキルを改善したいです。
準2級,journey,旅,名詞,日常・基本,/ˈdʒɜrni/,Our journey to the city was long.,私たちの街への旅は長かったです。
準2級,manage,管理する,動詞,ビジネス,/ˈmænɪdʒ/,She manages a team of five people.,彼女は5人のチームを管理しています。
準2級,mention,言及する,動詞,思考,/ˈmɛnʃən/,Did you mention the meeting time?,会議の時間について言及しましたか？
準2級,mystery,謎,名詞,思考,/ˈmɪstəri/,The book is a mystery novel.,その本はミステリー小説です。
準2級,opportunity,機会,名詞,ビジネス,/ˌɑːpərˈtjuːnɪti/,This is a great opportunity for you.,これはあなたにとって素晴らしい機会です。
準2級,perform,演じる・行う,動詞,文化,/pərˈfɔrm/,They will perform a play tonight.,彼らは今夜、劇を演じます。
準2級,prepare,準備する,動詞,日常・基本,/prɪˈpɛr/,I need to prepare for the exam.,私は試験の準備をする必要があります。
準2級,produce,生産する,動詞,ビジネス,/prəˈdjuːs/,This factory produces cars.,この工場は車を生産しています。
準2級,protect,守る,動詞,自然・社会,/prəˈtɛkt/,We must protect the environment.,私たちは環境を守らなければなりません。
準2級,realize,気づく,動詞,思考,/ˈriːəlaɪz/,I just realized my mistake.,私は自分の間違いに気づきました。
準2級,reduce,減らす,動詞,自然・社会,/rɪˈdjuːs/,We need to reduce waste.,私たちは廃棄物を減らす必要があります。
準2級,result,結果,名詞,思考,/rɪˈzʌlt/,The result of the test was good.,テストの結果は良好でした。
準2級,succeed,成功する,動詞,ビジネス,/səkˈsiːd/,"If you work hard, you will succeed.",一生懸命働けば、成功します。
準2級,suggest,提案する,動詞,思考,/səɡˈdʒɛst/,I suggest we take a break.,休憩を取ることを提案します。
準2級,survive,生き残る,動詞,自然・社会,/sərˈvaɪv/,Only a few animals can survive in the desert.,砂漠では少数の動物だけが生き残れます。
準2級,translate,翻訳する,動詞,学術,/trænˈsleɪt/,Can you translate this text into Japanese?,このテキストを日本語に翻訳できますか？
準2級,treat,扱う・治療する,動詞,社会・文化,/triːt/,He treats everyone with respect.,彼は誰にでも敬意を持って接します。
準2級,trust,信頼する,動詞,感情,/trʌst/,I trust my friends.,私は友達を信頼しています。
準2級,unhappy,不幸な,形容詞,感情,/ʌnˈhæpi/,She felt unhappy about the news.,彼女はそのニュースに不満を感じました。
準2級,volunteer,ボランティア,名詞・動詞,社会・文化,/ˌvɑːlənˈtɪr/,I want to volunteer at the shelter.,私は避難所でボランティアをしたいです。
準2級,wonder,不思議に思う,動詞,思考,/ˈwʌndər/,I wonder how this works.,これがどのように機能するのか不思議に思います。
準2級,youth,若者,名詞,社会・文化,/juːθ/,The youth are our future.,若者は私たちの未来です。
準2級,activity,活動・行動,名詞,日常・基本,/ækˈtɪv.ɪ.ti/,She enjoys outdoor activities.,彼女は屋外活動を楽しんでいます。
準2級,adventure,冒険,名詞,思考・感情,/ədˈvɛn.tʃər/,They went on an exciting adventure.,彼らはワクワクする冒険に出かけました。
準2級,borrow,借りる,動詞,日常・基本,/ˈbɔː.roʊ/,Can I borrow your pencil?,あなたの鉛筆を借りてもいいですか？
準2級,celebrate,祝う,動詞,文化,/ˈsɛl.ə.breɪt/,We celebrate New Year's Eve with fireworks.,私たちは花火で大晦日を祝います。
準2級,community,コミュニティ・地域社会,名詞,社会・文化,/kəˈmjuː.nə.ti/,The community comes together for events.,地域社会はイベントのために集まります。
準2級,courage,勇気,名詞,思考・感情,/ˈkʌr.ɪdʒ/,It takes courage to try new things.,新しいことを試すには勇気が必要です。
準2級,discuss,議論する・話し合う,動詞,思考・感情,/dɪsˈkʌs/,Let's discuss our plans for the weekend.,週末の計画について議論しましょう。
準2級,experience,経験・体験,名詞,思考・感情,/ɪkˈspɪə.ri.əns/,Traveling is a great experience.,旅行は素晴らしい経験です。
準2級,famous,有名な,形容詞,文化,/ˈfeɪ.məs/,She is a famous singer.,彼女は有名な歌手です。
準2級,improve,改善する・向上させる,動詞,思考・感情,/ɪmˈpruːv/,He wants to improve his English skills.,彼は英語のスキルを向上させたいです。
準2級,journey,旅・旅行,名詞,自然・社会,/ˈdʒɜːr.ni/,The journey was long but enjoyable.,その旅は長かったが楽しかったです。
準2級,manage,管理する・うまくやる,動詞,ビジネス,/ˈmæn.ɪdʒ/,She can manage the team well.,彼女はチームをうまく管理できます。
準2級,mention,言及する・話に出す,動詞,思考・感情,/ˈmɛn.ʃən/,He didn't mention the meeting.,彼は会議について言及しませんでした。
準2級,mystery,謎・神秘,名詞,思考・感情,/ˈmɪs.tər.i/,The book is full of mystery.,その本は謎に満ちています。
準2級,opportunity,機会・チャンス,名詞,ビジネス,/ˌɒp.əˈtjuː.nɪ.ti/,This is a great opportunity for you.,これはあなたにとって素晴らしい機会です。
準2級,perform,演じる・行う,動詞,文化,/pərˈfɔːrm/,They will perform at the concert.,彼らはコンサートで演じます。
準2級,prepare,準備する,動詞,日常・基本,/prɪˈpeər/,We need to prepare for the exam.,私たちは試験の準備をしなければなりません。
準2級,produce,生産する・作り出す,動詞,ビジネス,/prəˈdjuːs/,They produce high-quality goods.,彼らは高品質の製品を生産しています。
準2級,protect,守る・保護する,動詞,自然・社会,/prəˈtɛkt/,We must protect the environment.,私たちは環境を守らなければなりません。
準2級,realize,気づく・理解する,動詞,思考・感情,/ˈriː.ə.laɪz/,I didn't realize the time.,私は時間に気づいていませんでした。
準2級,reduce,減らす,動詞,ビジネス,/rɪˈdjuːs/,We need to reduce waste.,私たちは無駄を減らす必要があります。
準2級,result,結果,名詞,思考・感情,/rɪˈzʌlt/,The result was surprising.,結果は驚くべきものでした。
準2級,succeed,成功する,動詞,思考・感情,/səkˈsiːd/,She hopes to succeed in her career.,彼女はキャリアで成功することを望んでいます。
準2級,suggest,提案する,動詞,思考・感情,/səɡˈdʒɛst/,I suggest we take a break.,休憩を取ることを提案します。
準2級,survive,生き残る,動詞,思考・感情,/sərˈvaɪv/,Only a few animals can survive in the desert.,砂漠で生き残れる動物はごくわずかです。
準2級,translate,翻訳する,動詞,学術,/trænˈsleɪt/,Can you translate this document?,この書類を翻訳できますか？
準2級,treat,扱う・治療する,動詞,思考・感情,/triːt/,They treat each other with respect.,彼らはお互いに敬意を持って接します。
準2級,trust,信頼する,動詞,思考・感情,/trʌst/,I trust you completely.,私はあなたを完全に信頼しています。
準2級,unhappy,不幸な・不満な,形容詞,思考・感情,/ʌnˈhæpi/,He feels unhappy with his job.,彼は仕事に不満を感じています。
準2級,volunteer,ボランティア・自発的に行う,名詞・動詞,社会・文化,/ˌvɒl.ənˈtɪər/,She is a volunteer at the local shelter.,彼女は地元のシェルターでボランティアをしています。
準2級,wonder,不思議に思う・驚く,動詞,思考・感情,/ˈwʌn.dər/,I wonder what will happen next.,次に何が起こるのか不思議に思います。
準2級,youth,若者・青年,名詞,社会・文化,/juːθ/,The youth are the future of our society.,若者は私たちの社会の未来です。
準2級,advice,助言・忠告,名詞,思考・感情,/ədˈvaɪs/,I need your advice on this matter.,この件についてあなたの助言が必要です。
準2級,arrangement,取り決め・手配,名詞,日常・基本,/əˈreɪndʒmənt/,We made arrangements for the meeting.,私たちは会議の手配をしました。
準2級,behavior,行動・振る舞い,名詞,思考・感情,/bɪˈheɪvjər/,His behavior was very polite.,彼の振る舞いはとても礼儀正しかった。
準2級,celebration,祝賀・お祝い,名詞,文化,/ˌsɛlɪˈbreɪʃən/,We had a celebration for her birthday.,彼女の誕生日のお祝いをしました。
準2級,condition,状態・条件,名詞,抽象概念,/kənˈdɪʃən/,The condition of the car is excellent.,その車の状態は素晴らしい。
準2級,courage,勇気,名詞,思考・感情,/ˈkɜːrɪdʒ/,It takes courage to speak in public.,公の場で話すには勇気が必要です。
準2級,difference,違い,名詞,抽象概念,/ˈdɪfərəns/,What is the difference between these two products?,これら二つの製品の違いは何ですか？
準2級,environment,環境,名詞,自然・社会,/ɪnˈvaɪrənmənt/,We should protect the environment.,私たちは環境を守るべきです。
準2級,experience,経験,名詞,思考・感情,/ɪkˈspɪəriəns/,Traveling is a great experience.,旅行は素晴らしい経験です。
準2級,friendship,友情,名詞,思考・感情,/ˈfrɛndʃɪp/,Their friendship is very strong.,彼らの友情はとても強いです。
準2級,happiness,幸福,名詞,思考・感情,/ˈhæpɪnəs/,She is full of happiness.,彼女は幸福感に満ちています。
準2級,importance,重要性,名詞,抽象概念,/ɪmˈpɔːrtəns/,Education is of great importance.,教育は非常に重要です。
準2級,improvement,改善・向上,名詞,抽象概念,/ɪmˈpruːvmənt/,There has been a noticeable improvement.,目に見える改善がありました。
準2級,individual,個人・個々,名詞,抽象概念,/ˌɪndɪˈvɪdʒuəl/,Each individual has their own talents.,それぞれの個人には自分の才能があります。
準2級,journey,旅,名詞,文化,/ˈdʒɜːrni/,The journey was long but exciting.,その旅は長かったが、楽しかった。
準2級,knowledge,知識,名詞,思考・感情,/ˈnɒlɪdʒ/,Knowledge is power.,知識は力です。
準2級,opinion,意見,名詞,思考・感情,/əˈpɪnjən/,What is your opinion on this issue?,この問題についてあなたの意見は何ですか？
準2級,preparation,準備,名詞,日常・基本,/ˌprɛpəˈreɪʃən/,Good preparation is essential for success.,良い準備は成功に欠かせません。
準2級,reaction,反応,名詞,思考・感情,/riˈækʃən/,His reaction surprised everyone.,彼の反応はみんなを驚かせました。
準2級,recommendation,推薦・勧告,名詞,思考・感情,/ˌrɛkəmenˈdeɪʃən/,I received a recommendation for the job.,その仕事の推薦状を受け取りました。
準2級,situation,状況,名詞,抽象概念,/ˌsɪtʃuˈeɪʃən/,We are in a difficult situation.,私たちは困難な状況にいます。
準2級,suggestion,提案,名詞,思考・感情,/səˈdʒɛstʃən/,She made a good suggestion.,彼女は良い提案をしました。
準2級,technology,技術,名詞,学術,/tɛkˈnɒlədʒi/,Technology is changing rapidly.,技術は急速に変化しています。
準2級,transportation,交通・輸送,名詞,自然・社会,/ˌtrænspɔːrˈteɪʃən/,Public transportation is very convenient.,公共交通機関はとても便利です。
準2級,volunteer,ボランティア,名詞,文化,/ˌvɒlənˈtɪər/,She is a volunteer at the local shelter.,彼女は地元のシェルターでボランティアをしています。
準2級,achievement,達成,名詞,抽象概念,/əˈtʃiːvmənt/,Winning the prize was a great achievement.,賞を受賞することは大きな達成でした。
準2級,communication,コミュニケーション,名詞,思考・感情,/kəˌmjunɪˈkeɪʃən/,Effective communication is important.,効果的なコミュニケーションは重要です。
準2級,destination,目的地,名詞,文化,/ˌdɛstəˈneɪʃən/,Paris is a popular travel destination.,パリは人気の旅行先です。
準2級,inspiration,インスピレーション,名詞,思考・感情,/ˌɪnspəˈreɪʃən/,Her art gives me inspiration.,彼女のアートは私にインスピレーションを与えます。
準2級,relationship,関係,名詞,思考・感情,/rɪˈleɪʃənʃɪp/,They have a close relationship.,彼らは親しい関係にあります。
準2級,satisfaction,満足,名詞,思考・感情,/ˌsætɪsˈfækʃən/,Customer satisfaction is our priority.,顧客の満足は私たちの優先事項です。
準2級,development,発展・発達,名詞,学術,/dɪˈvɛləpmənt/,The development of technology is rapid.,技術の発展は急速です。
準2級,feedback,フィードバック,名詞,思考・感情,/ˈfiːdbæk/,Thank you for your feedback.,フィードバックをありがとうございます。
準2級,solution,解決策,名詞,思考・感情,/səˈluːʃən/,We need to find a solution.,私たちは解決策を見つける必要があります。
準2級,strategy,戦略,名詞,ビジネス,/ˈstrætədʒi/,We need a new strategy for marketing.,私たちはマーケティングのための新しい戦略が必要です。
準2級,imagination,想像力,名詞,思考・感情,/ɪˌmædʒɪˈneɪʃən/,Imagination is important for creativity.,想像力は創造性に重要です。
準2級,adopt,採用する・養子にする,動詞,社会・文化,/əˈdɒpt/,They decided to adopt a puppy from the shelter.,彼らは保護施設から子犬を養子にすることに決めました。
準2級,balance,バランス・均衡,名詞,日常・基本,/ˈbæl.əns/,She has a good balance between work and life.,彼女は仕事と生活のバランスが良いです。
準2級,challenge,挑戦・課題,名詞,思考・感情,/ˈtʃæl.ɪndʒ/,Learning a new language is a great challenge.,新しい言語を学ぶことは素晴らしい挑戦です。
準2級,depend,依存する・頼る,動詞,日常・基本,/dɪˈpɛnd/,You can depend on me for help.,助けが必要なときは私を頼ってください。
準2級,encourage,励ます・促す,動詞,思考・感情,/ɪnˈkʌr.ɪdʒ/,Teachers should encourage students to ask questions.,教師は生徒が質問することを励ますべきです。
準2級,focus,焦点・集中,名詞・動詞,思考・感情,/ˈfoʊ.kəs/,You need to focus on your studies.,勉強に集中する必要があります。
準2級,gather,集める・集まる,動詞,日常・基本,/ˈɡæð.ər/,Let’s gather together for a meeting.,会議のために一緒に集まりましょう。
準2級,improve,改善する・向上させる,動詞,思考・感情,/ɪmˈpruːv/,He wants to improve his English skills.,彼は英語のスキルを向上させたいです。
準2級,maintain,維持する・保つ,動詞,社会・文化,/meɪnˈteɪn/,It’s important to maintain a healthy diet.,健康的な食事を維持することが重要です。
準2級,notice,気づく・通知,動詞・名詞,思考・感情,/ˈnoʊ.tɪs/,Did you notice the changes in the park?,公園の変化に気づきましたか？
準2級,participate,参加する,動詞,社会・文化,/pɑːrˈtɪs.ɪ.peɪt/,Many students participate in the school festival.,多くの生徒が学校祭に参加します。
準2級,reason,理由・根拠,名詞,思考・感情,/ˈriː.zən/,What is the reason for your decision?,あなたの決定の理由は何ですか？
準2級,schedule,予定・スケジュール,名詞・動詞,日常・基本,/ˈskɛdʒ.uːl/,I have a busy schedule this week.,今週は忙しい予定があります。
準2級,support,支える・支持する,動詞・名詞,社会・文化,/səˈpɔːrt/,We need to support each other.,お互いに支え合う必要があります。
準2級,tradition,伝統,名詞,文化,/trəˈdɪʃ.ən/,Every family has its own tradition.,どの家族も独自の伝統を持っています。
準2級,unique,独特な・唯一の,形容詞,抽象概念,/juːˈniːk/,She has a unique style of painting.,彼女は独特の絵画スタイルを持っています。
準2級,value,価値・重要性,名詞・動詞,ビジネス,/ˈvæl.juː/,Honesty is a value we should all share.,誠実さは私たち全員が共有すべき価値です。
準2級,whisper,ささやく・ひそひそ話す,動詞・名詞,思考・感情,/ˈwɪs.pər/,She whispered a secret to her friend.,彼女は友達に秘密をささやきました。
準2級,attempt,試み・挑戦する,名詞・動詞,思考・感情,/əˈtɛmpt/,He made an attempt to solve the problem.,彼は問題を解決しようと試みました。
準2級,benefit,利益・恩恵,名詞・動詞,ビジネス,/ˈbɛn.ɪ.fɪt/,Regular exercise has many health benefits.,定期的な運動には多くの健康上の利点があります。
準2級,courage,勇気,名詞,思考・感情,/ˈkɜːr.ɪdʒ/,It takes courage to speak in public.,人前で話すには勇気が必要です。
準2級,discover,発見する,動詞,思考・感情,/dɪsˈkʌv.ər/,They hope to discover new planets.,彼らは新しい惑星を発見することを望んでいます。
準2級,encounter,出会う・遭遇する,動詞・名詞,日常・基本,/ɪnˈkaʊn.tər/,I had an unexpected encounter with an old friend.,古い友人と予期しない出会いがありました。
準2級,freedom,自由,名詞,政治・社会,/ˈfriː.dəm/,Everyone deserves freedom and equality.,誰もが自由と平等を受ける権利があります。
準2級,genuine,本物の・誠実な,形容詞,抽象概念,/ˈdʒɛn.ju.ɪn/,She gave him a genuine smile.,彼女は彼に誠実な笑顔を見せました。
準2級,happen,起こる・発生する,動詞,日常・基本,/ˈhæp.ən/,Accidents can happen at any time.,事故はいつでも起こる可能性があります。
準2級,inspire,刺激する・鼓舞する,動詞,思考・感情,/ɪnˈspaɪər/,Her story will inspire many people.,彼女の話は多くの人々に刺激を与えるでしょう。
準2級,journey,旅・移動,名詞,日常・基本,/ˈdʒɜːr.ni/,The journey was long but worth it.,その旅は長かったが、価値がありました。
準2級,knowledge,知識,名詞,学術,/ˈnɒl.ɪdʒ/,Knowledge is power.,知識は力です。
準2級,limit,限界・制限,名詞・動詞,抽象概念,/ˈlɪm.ɪt/,There is a limit to what we can achieve.,私たちが達成できることには限界があります。
準2級,motivate,動機付ける・刺激する,動詞,思考・感情,/ˈmoʊ.tɪ.veɪt/,Teachers should motivate their students.,教師は生徒を動機付けるべきです。
